"Stars","Title","Entry ID","Entry Name","Date Added","Date Modified","PDB TITLE","PDB ID","PDB CRYST1 a","PDB CRYST1 b","PDB CRYST1 c","PDB CRYST1 alpha","PDB CRYST1 beta","PDB CRYST1 gamma","PDB CRYST1 Space Group","PDB CRYST1 z","PDB CLASSIFICATION","PDB DEPOSITION DATE","PDB format version","PDB R","PDB Rfree","PDB RESOLUTION","PDB EXPDTA","PDB EXPDTA 1 TEMPERATURE 1","PDB EXPDTA 1 TEMPERATURE 2","PDB REMARK 350 Biomolecule 1 Transform 1 Chains","PDB REMARK 350 Biomolecule 1 Transform 1 Matrix 1","PDB REMARK 350 Biomolecule 2 Transform 1 Chains","PDB REMARK 350 Biomolecule 2 Transform 1 Matrix 1","Source Path","Source File","Source File Index","entry id backup","prepared","prepared with version","assigned bond orders","added hydrogens","treated metals","created disulfur","converted selenomethionines","EXECUTE FUNCTION Input Structure Hash","ran protassign","deleted far waters","Potential Energy-S-OPLS","RMS Derivative-S-OPLS","Max Derivative-S-OPLS","Stretch Energy-S-OPLS","Bend Energy-S-OPLS","LJ-14 Energy-S-OPLS","El-14 Energy-S-OPLS","Van der Waals Energy-S-OPLS","Electrostatic Energy-S-OPLS","Dihedral Energy-S-OPLS","target temperature","ran impref","chembl_id","chembl_pref_name","chiral flag","version","PDB EXPDTA TEMPERATURE","PDB EXPDTA PH","het states","source file","source file index","mmshare version","flags","input","cmdline","Ionization Penalty","Ionization Penalty Charging","Ionization Penalty Neutral","State Penalty","Charging Adjusted Penalty","Tot Q","Tot abs Q","Force Field","Energy","Chiralities Consistent","Variant","Job Name","tautomer probability","Chemistry Notes","grid version","gridbox xcent","gridbox ycent","gridbox zcent","gridbox xrange","gridbox yrange","gridbox zrange","gridbox ligxrange","gridbox ligyrange","gridbox ligzrange","grid type","receptor","glide gridfile","glide lignum","glide rotatable bonds","docking score","glide ligand efficiency","glide ligand efficiency sa","glide ligand efficiency ln","glide gscore","glide lipo","glide hbond","glide metal","glide rewards","glide evdw","glide ecoul","glide erotb","glide esite","glide emodel","glide energy","glide einternal","glide confnum","glide posenum","glide eff state penalty","Mark","PDB REMARK 350 Biomolecule 3 Transform 1 Chains","PDB REMARK 350 Biomolecule 3 Transform 1 Matrix 1","PDB REMARK 350 Biomolecule 4 Transform 1 Chains","PDB REMARK 350 Biomolecule 4 Transform 1 Matrix 1","PLTKK Seq","PLTKK Homology Source","PLTKK Homology Stemres","PLTKK Homology Loopres","PLTKK Homology Seq","PLTKK Homology Similarity","PLTKK Homology Stem Dist","PLTKK Homology Stem Beta","PLTKK Homology Stem Gamma","OPLSVersion","Potential Energy","RMS Derivative","Minimization Converged","group name backup","box ax","box ay","box az","box bx","box by","box bz","box cx","box cy","box cz","ct type","original cms file","frame"
,"6JW9_protein - minimized","310","6jw9_falcipain2.1_others","2021-08-11 10:32:54","2021-08-11 10:33:29","CRYSTAL STRUCTURE OF E-64 INHIBITED FALCIPAIN 2 FROM PLASMODIUM FALCIPARUM, STRAIN 3D7","6JW9",115.269,115.269,242.005,90.000,90.000,90.000,"P 41 21 2",16,"HYDROLASE","18-APR-19","3.30",0.294,0.328,3.500,"X-RAY DIFFRACTION",,,"A","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","B","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","/home/dell15/Public/202107_SFRF/structures/prot","6jw9_falcipain2.pdb",1,"303",true,"2021-1",true,true,true,true,true,"3a8894348bde9ed397dc2c4da0195d6148bb4ea4ba0c8efd2cfeedef",true,true,-712.909,0.098,1.324,105.110,487.227,1145.547,518.523,-2147.945,-1362.235,452.132,298.000,true,"","",,,100.000,5.000,"","",,,,"","",,,,,,,,"",,,"","glide-dock_SP_6jw9_ligands",,"",90161,-9.843,14.891,-39.271,23.348,23.348,23.348,10.000,10.000,10.000,"glide",true,"",,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",,,,,"",,,,"6JW9_split_by_structure",,,,,,,,,,"","",
,"ligprep_ligands.maegz:10","311","ligand 6-11-A0skJQb0hAvPLR2KpjeEgL4u6fEFtp7WzKjyU2_Ha5E=.5","2021-08-11 10:32:54","2021-08-11 10:33:29","","",,,,,,,"",,"","","",,,,"",,,"","","","","/home/dell15/Public/202107_SFRF/structures","ligand 6-11-A0skJQb0hAvPLR2KpjeEgL4u6fEFtp7WzKjyU2_Ha5E=.sdf",5,"",,"",,,,,,"",,,,,,,,,,,,,,,"CHEMBL598494","None",false,0,,,"","ligprep_ligands.maegz",10,53161,0,"W0NIM11PYzFbY0hdbltjSF1jKFtjSF0xKS1jMltjSF1uW2NIXWMobjIpTjNbQ0gyXVtDSDJdTihbQ0gyXVtDSDJdMyljNFtjSF1bY0hdbltjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.0019,0.0005,0.0014,0.0000,0.001,1,1,"S-OPLS",69.463,true,"ligprep_ligands.maegz:10-1","glide-dock_SP_6jw9_ligands",1.000,"",,,,,,,,,,,"",,"glide-grid_6jw9",29,4,-6.699,-0.258,-0.763,-1.573,-6.699,-2.304,-0.152,0.000,-1.689,-31.793,-8.890,0.468,-0.100,-62.856,-40.683,0.582,33,126,0.000,,"","","","","","","","","",,,,,"",,,,"",,,,,,,,,,"","",
,"ligprep_ligands.maegz:6","312","ligand 6-11-A0skJQb0hAvPLR2KpjeEgL4u6fEFtp7WzKjyU2_Ha5E=.1","2021-08-11 10:32:54","2021-08-11 10:32:54","","",,,,,,,"",,"","","",,,,"",,,"","","","","/home/dell15/Public/202107_SFRF/structures","ligand 6-11-A0skJQb0hAvPLR2KpjeEgL4u6fEFtp7WzKjyU2_Ha5E=.sdf",1,"",,"",,,,,,"",,,,,,,,,,,,,,,"CHEMBL3637873","None",false,0,,,"","ligprep_ligands.maegz",6,53161,0,"RkMoRikoRiljMVtjSF1bY0hdW2NIXWMoW2NIXTEpLWMobjIpW25IXWMoYzIzKVtjSF1bY0hdbmMzW05IXVtDSDJdYzRbY0hdW2NIXW5bY0hdW2NIXTQ=","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.3745,0.0001,0.3744,0.3761,0.376,1,1,"S-OPLS",39.970,true,"ligprep_ligands.maegz:6-1","glide-dock_SP_6jw9_ligands",,"",,,,,,,,,,,"",,"glide-grid_6jw9",12,5,-6.162,-0.228,-0.685,-1.434,-6.538,-2.170,-0.239,0.000,-1.728,-32.837,-7.626,0.563,-0.178,-60.663,-40.463,2.664,44,383,0.376,,"","","","","","","","","",,,,,"",,,,"",,,,,,,,,,"","",
,"ligprep_ligands.maegz:2","313","lignd 1-5-_itTGV70pc83ONZ8wcdN4Ko4aEYUCtTcwnBz0QvHoLo=.2","2021-08-11 10:32:54","2021-08-11 10:32:54","","",,,,,,,"",,"","","",,,,"",,,"","","","","/home/dell15/Public/202107_SFRF/structures","lignd 1-5-_itTGV70pc83ONZ8wcdN4Ko4aEYUCtTcwnBz0QvHoLo=.sdf",2,"",,"",,,,,,"",,,,,,,,,,,,,,,"CHEMBL529986","None",false,0,,,"","ligprep_ligands.maegz",2,53161,0,"W2NIXTFuW2NIXVtjSF1bY0hdYzFbTkhdQyg9TyljKFtjSF1jMkMoW0NIM10pKFtDSDNdKVtDSDNdKVtjSF1jKFtjSF0yKUMoPU8pW05IXWMzW2NIXVtjSF1bY0hdbltjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.0014,0.0000,0.0014,0.0000,0.000,0,0,"S-OPLS",50.612,true,"ligprep_ligands.maegz:2-1","glide-dock_SP_6jw9_ligands",1.000,"",,,,,,,,,,,"",,"glide-grid_6jw9",3,7,-6.148,-0.220,-0.667,-1.419,-6.148,-2.358,-0.706,0.000,-1.074,-36.605,-6.567,0.827,-0.022,-57.200,-43.173,4.182,107,26,0.000,,"","","","","","","","","",,,,,"",,,,"",,,,,,,,,,"","",
,"ligprep_ligands.maegz:27","314","ligand 21-31-fmEPHNi7bU0FS2scYxUtrlIjU8TCeI7ZO2elUwRHFW8=.7","2021-08-11 10:32:54","2021-08-11 10:32:54","","",,,,,,,"",,"","","",,,,"",,,"","","","","/home/dell15/Public/202107_SFRF/structures","ligand 21-31-fmEPHNi7bU0FS2scYxUtrlIjU8TCeI7ZO2elUwRHFW8=.sdf",7,"",,"",,,,,,"",,,,,,,,,,,,,,,"CHEMBL537372","None",false,0,,,"","ligprep_ligands.maegz",27,53161,0,"W0NIM11PYzFbY0hdW2NIXWMoW2NIXWMxT1tDSDNdKS1jKFtjSF1uMiluKGMyMyluYyhbY0hdW2NIXTMpTjRbQ0gyXVtDSDJdW0NIMl1bQ0gyXTQ=","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.0361,0.0000,0.0361,0.0291,0.029,0,0,"S-OPLS",25.957,true,"ligprep_ligands.maegz:27-1","glide-dock_SP_6jw9_ligands",1.000,"",,,,,,,,,,,"",,"glide-grid_6jw9",58,4,-6.144,-0.256,-0.738,-1.471,-6.174,-1.874,-0.387,0.000,-2.262,-31.224,-2.963,0.356,0.000,-47.178,-34.188,0.301,1,255,0.029,,"","","","","","","","","",,,,,"",,,,"",,,,,,,,,,"","",
,"ligprep_ligands.maegz:5","315","lignd 1-5-_itTGV70pc83ONZ8wcdN4Ko4aEYUCtTcwnBz0QvHoLo=.5","2021-08-11 10:32:54","2021-08-11 10:32:54","","",,,,,,,"",,"","","",,,,"",,,"","","","","/home/dell15/Public/202107_SFRF/structures","lignd 1-5-_itTGV70pc83ONZ8wcdN4Ko4aEYUCtTcwnBz0QvHoLo=.sdf",5,"",,"",,,,,,"",,,,,,,,,,,,,,,"CHEMBL535295","None",false,0,,,"","ligprep_ligands.maegz",5,53161,0,"W0NIM11PQyg9TylbQ0BIXShbQ0gyXVtDSDNdKVtOSF1DKD1PKWMxW2NIXVtjSF1bY0hdW2NIXWMxW05IXUMoPU8pYzJbY0hdW2NIXWMoW0NIM10pW2NIXVtjSF0y","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.0000,0.0000,0.0000,0.0000,0.000,0,0,"S-OPLS",43.430,true,"ligprep_ligands.maegz:5-1","glide-dock_SP_6jw9_ligands",1.000,"This compound has an ester and may undergo hydrolysis at high or low pH.",,,,,,,,,,,"",,"glide-grid_6jw9",10,9,-6.104,-0.235,-0.696,-1.434,-6.104,-2.591,-0.625,0.000,-1.428,-36.445,-4.689,1.065,0.000,-55.208,-41.135,1.836,63,148,0.000,,"","","","","","","","","",,,,,"",,,,"",,,,,,,,,,"","",
,"ligprep_ligands.maegz:22","316","ligand 21-31-fmEPHNi7bU0FS2scYxUtrlIjU8TCeI7ZO2elUwRHFW8=.2","2021-08-11 10:32:54","2021-08-11 10:32:54","","",,,,,,,"",,"","","",,,,"",,,"","","","","/home/dell15/Public/202107_SFRF/structures","ligand 21-31-fmEPHNi7bU0FS2scYxUtrlIjU8TCeI7ZO2elUwRHFW8=.sdf",2,"",,"",,,,,,"",,,,,,,,,,,,,,,"CHEMBL528061","None",false,0,,,"","ligprep_ligands.maegz",22,53161,0,"W2NIXTFbY0hdW2NIXVtjSF1bY0hdYzFbQ0gyXVtDSDJdW05IXUMoPU8pYzJbY0hdYygtYzNbY0hdW2NIXVtjSF1uW2NIXTMpW2NIXW5jMltOSF1bQ0gyXVtDSF00W0NIMl1bQ0gyXTQ=","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.0041,0.0000,0.0041,0.0028,0.003,0,0,"S-OPLS",40.807,true,"ligprep_ligands.maegz:22-1","glide-dock_SP_6jw9_ligands",1.000,"",,,,,,,,,,,"",,"glide-grid_6jw9",50,9,-5.955,-0.213,-0.646,-1.375,-5.958,-2.652,0.000,0.000,-1.751,-38.801,-4.855,1.114,0.000,-57.784,-43.656,3.284,67,363,0.003,,"","","","","","","","","",,,,,"",,,,"",,,,,,,,,,"","",
,"ligprep_ligands.maegz:9","317","ligand 6-11-A0skJQb0hAvPLR2KpjeEgL4u6fEFtp7WzKjyU2_Ha5E=.4","2021-08-11 10:32:54","2021-08-11 10:32:54","","",,,,,,,"",,"","","",,,,"",,,"","","","","/home/dell15/Public/202107_SFRF/structures","ligand 6-11-A0skJQb0hAvPLR2KpjeEgL4u6fEFtp7WzKjyU2_Ha5E=.sdf",4,"",,"",,,,,,"",,,,,,,,,,,,,,,"CHEMBL587398","None",false,0,,,"","ligprep_ligands.maegz",9,53161,0,"W2NIXTFbY0hdYyhDbClbY0hdYyhbbkhdMiljMWMoW0NIMl1bQ0BASF0oW05IXTMpQyg9TylbTkhdW0NIM10pYzJDMzRbQ0gyXVtDSDJdTihbQ0gyXVtDSDJdNClbQ0gyXVtDSDJdYzVbY0hdW2NIXVtjSF1bY0hdW2NIXTU=","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.0232,0.0025,0.0207,0.0138,0.016,1,1,"S-OPLS",39.781,true,"ligprep_ligands.maegz:9-1","glide-dock_SP_6jw9_ligands",,"",,,,,,,,,,,"",,"glide-grid_6jw9",21,5,-5.917,-0.191,-0.600,-1.335,-5.931,-2.381,-0.608,0.000,-0.515,-35.973,-6.962,0.416,0.000,-58.979,-42.935,1.505,21,175,0.014,,"","","","","","","","","",,,,,"",,,,"",,,,,,,,,,"","",
,"ligprep_ligands.maegz:8","318","ligand 6-11-A0skJQb0hAvPLR2KpjeEgL4u6fEFtp7WzKjyU2_Ha5E=.3","2021-08-11 10:32:54","2021-08-11 10:32:54","","",,,,,,,"",,"","","",,,,"",,,"","","","","/home/dell15/Public/202107_SFRF/structures","ligand 6-11-A0skJQb0hAvPLR2KpjeEgL4u6fEFtp7WzKjyU2_Ha5E=.sdf",3,"",,"",,,,,,"",,,,,,,,,,,,,,,"CHEMBL601821","None",false,0,,,"","ligprep_ligands.maegz",8,53161,0,"W05IMl1bQ0gyXUMoPU8pTihbQ0gyXVtDSDJdMSlbQ0gyXWMobjEyKW5jKC1jM1tjSF1bY0hdW2NIXVtjSF1bY0hdMyljMltOSF1jKFtjSF1bY0hdNClbY0hdYyhjNDUpT1tDSDJdTzU=","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.6117,0.1800,0.4317,0.5273,0.707,2,2,"S-OPLS",66.438,true,"ligprep_ligands.maegz:8-1","glide-dock_SP_6jw9_ligands",,"This compound contains an acetal/aminal-like group ( X-CH(R)-Y where X, Y are N, S, or O) that may be acid/base labile, releasing an aldehyde.",,,,,,,,,,,"",,"glide-grid_6jw9",17,5,-5.901,-0.203,-0.625,-1.351,-6.428,-1.751,-0.171,0.000,-1.731,-28.425,-9.742,0.353,-0.246,-62.094,-38.167,5.466,1,173,0.527,,"","","","","","","","","",,,,,"",,,,"",,,,,,,,,,"","",
,"ligprep_ligands.maegz:7","319","ligand 6-11-A0skJQb0hAvPLR2KpjeEgL4u6fEFtp7WzKjyU2_Ha5E=.2","2021-08-11 10:32:54","2021-08-11 10:32:54","","",,,,,,,"",,"","","",,,,"",,,"","","","","/home/dell15/Public/202107_SFRF/structures","ligand 6-11-A0skJQb0hAvPLR2KpjeEgL4u6fEFtp7WzKjyU2_Ha5E=.sdf",2,"",,"",,,,,,"",,,,,,,,,,,,,,,"CHEMBL580794","None",false,0,,,"","ligprep_ligands.maegz",7,53161,0,"W0NIM11bQ0gyXVtDSDJdUyg9TykoPU8pTihbQ0gyXVtDSDJdMSlbQ0gyXVtDSDJdQzEoW0NIMl1bT0hdKVtDSDJdYzJbY0hdW2NIXVtjSF1bY0hdYzJDKEYpKEYpRg==","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.0000,0.0000,0.0000,0.0000,0.000,0,0,"S-OPLS",44.327,true,"ligprep_ligands.maegz:7-1","glide-dock_SP_6jw9_ligands",1.000,"",,,,,,,,,,,"",,"glide-grid_6jw9",16,8,-5.746,-0.230,-0.672,-1.362,-5.746,-1.890,-0.320,0.000,-1.898,-28.387,-5.943,0.673,0.000,-44.535,-34.330,3.607,100,25,0.000,,"","","","","","","","","",,,,,"",,,,"",,,,,,,,,,"","",
,"ligprep_ligands.maegz:6","320","ligand 6-11-A0skJQb0hAvPLR2KpjeEgL4u6fEFtp7WzKjyU2_Ha5E=.1","2021-08-11 10:32:54","2021-08-11 10:32:54","","",,,,,,,"",,"","","",,,,"",,,"","","","","/home/dell15/Public/202107_SFRF/structures","ligand 6-11-A0skJQb0hAvPLR2KpjeEgL4u6fEFtp7WzKjyU2_Ha5E=.sdf",1,"",,"",,,,,,"",,,,,,,,,,,,,,,"CHEMBL3637873","None",false,0,,,"","ligprep_ligands.maegz",6,53161,0,"RkMoRikoRiljMVtjSF1bY0hdW2NIXWMoW2NIXTEpLWMobjIpW25IXWMoYzIzKVtjSF1bY0hdbmMzW05IXVtDSDJdYzRbY0hdW2NIXW5bY0hdW2NIXTQ=","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.0792,0.7296,0.3495,1.0745,1.804,2,2,"S-OPLS",48.451,true,"ligprep_ligands.maegz:6-3","glide-dock_SP_6jw9_ligands",,"",,,,,,,,,,,"",,"glide-grid_6jw9",14,5,-5.739,-0.213,-0.638,-1.336,-6.813,-2.136,-0.366,0.000,-1.697,-32.648,-8.992,0.560,-0.193,-66.070,-41.641,3.086,13,385,1.075,,"","","","","","","","","",,,,,"",,,,"",,,,,,,,,,"","",
,"ligprep_ligands.maegz:9","321","ligand 6-11-A0skJQb0hAvPLR2KpjeEgL4u6fEFtp7WzKjyU2_Ha5E=.4","2021-08-11 10:32:54","2021-08-11 10:32:54","","",,,,,,,"",,"","","",,,,"",,,"","","","","/home/dell15/Public/202107_SFRF/structures","ligand 6-11-A0skJQb0hAvPLR2KpjeEgL4u6fEFtp7WzKjyU2_Ha5E=.sdf",4,"",,"",,,,,,"",,,,,,,,,,,,,,,"CHEMBL587398","None",false,0,,,"","ligprep_ligands.maegz",9,53161,0,"W2NIXTFbY0hdYyhDbClbY0hdYyhbbkhdMiljMWMoW0NIMl1bQ0BASF0oW05IXTMpQyg9TylbTkhdW0NIM10pYzJDMzRbQ0gyXVtDSDJdTihbQ0gyXVtDSDJdNClbQ0gyXVtDSDJdYzVbY0hdW2NIXVtjSF1bY0hdW2NIXTU=","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.0232,0.0025,0.0207,0.0138,0.016,1,1,"S-OPLS",41.344,true,"ligprep_ligands.maegz:9-2","glide-dock_SP_6jw9_ligands",,"",,,,,,,,,,,"",,"glide-grid_6jw9",22,5,-5.722,-0.185,-0.580,-1.290,-5.735,-2.597,-0.505,0.000,-0.482,-33.308,-5.820,0.416,-0.029,-53.599,-39.129,2.958,8,24,0.014,,"","","","","","","","","",,,,,"",,,,"",,,,,,,,,,"","",
,"ligprep_ligands.maegz:28","322","ligand 21-31-fmEPHNi7bU0FS2scYxUtrlIjU8TCeI7ZO2elUwRHFW8=.8","2021-08-11 10:32:54","2021-08-11 10:32:54","","",,,,,,,"",,"","","",,,,"",,,"","","","","/home/dell15/Public/202107_SFRF/structures","ligand 21-31-fmEPHNi7bU0FS2scYxUtrlIjU8TCeI7ZO2elUwRHFW8=.sdf",8,"",,"",,,,,,"",,,,,,,,,,,,,,,"CHEMBL3637842","None",false,0,,,"","ligprep_ligands.maegz",28,53161,0,"RkMoRikoRiljMVtjSF1bY0hdYyhbY0hdW2NIXTEpW0NIMl1OKEMoPU8pW0NIMl1PW0NIMl0yKWMoYzIzKVtjSF1jKEJyKVtjSF1bY0hdMw==","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.0000,0.0000,0.0000,0.0000,0.000,0,0,"S-OPLS",46.877,true,"ligprep_ligands.maegz:28-1","glide-dock_SP_6jw9_ligands",1.000,"",,,,,,,,,,,"",,"glide-grid_6jw9",60,3,-5.660,-0.236,-0.680,-1.355,-5.660,-2.206,-0.106,0.000,-1.732,-31.108,-2.036,0.245,0.000,-43.897,-33.144,1.035,2,267,0.000,,"","","","","","","","","",,,,,"",,,,"",,,,,,,,,,"","",
,"ligprep_ligands.maegz:12","323","ligand 12-20-wsHoxRYw4S2E65lYJ3VfdG2PGGXC5TJvydDfS_va34A=.1","2021-08-11 10:32:54","2021-08-11 10:32:54","","",,,,,,,"",,"","","",,,,"",,,"","","","","/home/dell15/Public/202107_SFRF/structures","ligand 12-20-wsHoxRYw4S2E65lYJ3VfdG2PGGXC5TJvydDfS_va34A=.sdf",1,"",,"",,,,,,"",,,,,,,,,,,,,,,"CHEMBL531591","None",false,0,,,"","ligprep_ligands.maegz",12,53161,0,"W0NIM11OKFtDSDNdKVtDSDJdW0NIMl1bTkhdQyg9TylOMVtDSDJdW0NIMl1bQ0gyXU4oW0NIMl1bQ0gyXTEpYyhuW2NIXW4yKWMoYzIzKXNjKFtjSF0zKS1jNFtjSF1bY0hdW2NIXVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.0204,0.0042,0.0163,0.0122,0.016,1,1,"S-OPLS",48.902,true,"ligprep_ligands.maegz:12-1","glide-dock_SP_6jw9_ligands",,"",,,,,,,,,,,"",,"glide-grid_6jw9",32,7,-5.634,-0.188,-0.584,-1.280,-5.646,-2.951,-0.009,0.000,-0.910,-38.627,-3.317,0.657,-0.004,-58.077,-41.944,2.574,415,289,0.012,,"","","","","","","","","",,,,,"",,,,"",,,,,,,,,,"","",
